event_name,city,state,county,distance_mi,trip_type,month,typical_dates,attendance,food_vendor_fee,application_method,contact,url,status,notes,last_verified
Current River Food Truck Festival,Van Buren,MO,Carter,190,,June,Jun 27,,Not researched,,,,Verified - food trucks,"Dedicated food-truck festival; food trucks welcome. Batch-2 (southern/SE MO) lightweight capture — confirm food-truck fit, fee & application.",2026-06-18
Butler County Fair,Poplar Bluff,MO,Butler,200,,,Summer (2026),,Not researched,Vendor application via the Butler County Agricultural Society (bcfair.org),,bcfair.org,Verified - food vendors,County fair in Poplar Bluff.,2026-06-18
Greenville Christmas Festival,Greenville,MO,Wayne,190,,December,Early December (2026),,Not researched,Contact the East Wayne County Chamber of Commerce,East Wayne County Chamber of Commerce,,Verified - food vendors,Greenville Christmas parade & festival.,2026-06-18
Bollinger County Fall Festival,Marble Hill,MO,Bollinger,200,,September,Oct 3-5 (2026),,Not researched,Contact the Bollinger County Fair Association (Facebook),Bollinger County Fair Association,,Verified - food vendors,"At Marble Hill Ball Park: vendors, crafts, food, carnival rides.",2026-06-18
"Old Time Music, Ozark Heritage Festival",West Plains,MO,Howell,150,,October,Oct 17-18 (2026),,Not researched,Vendor application at oldtimemusic.org (food booth ~$150),,oldtimemusic.org,Verified - food vendors,Downtown old-time music & heritage festival at the Civic Center.,2026-06-18
Heart of the Ozarks Fair,West Plains,MO,Howell,150,,June,Jun 1-6 (2026),,Not researched,Booth rental application at heartoftheozarksfair.net,Heart of the Ozarks Fair / 417-274-9826,heartoftheozarksfair.net,Verified - food vendors,"Howell County fair (Jun 1-6, 2026).",2026-06-18
Hootin an Hollarin,Gainesville,MO,Ozark,165,,September,Sep 17-19 (2026),,Not researched,Vendor application at hootinanhollarin.com/vendor-information (food vendors include menu),Hootin an Hollarin / Barbara Luna 417-712-1946,hootinanhollarin.com,Verified - food vendors,"Hometown festival on the square (Sep 17-19, 2026): parade, food, music; 100+ booths.",2026-06-18
Thayer Fall Festival,Thayer,MO,Oregon,175,,October,Mid-October (Saturday) 2026,,Not researched,Contact the Thayer Chamber of Commerce,Thayer Chamber of Commerce,,Verified - food vendors,"Downtown Thayer fall festival: food, decor & craft vendors.",2026-06-18
Ozark Mountain Festival,Eminence,MO,Shannon,140,,May,May 2026 (TBD; ~May 1),,Not researched,Vendor info via Eminence Chamber / Area Arts Council (visiteminence.com),visiteminence.com,visiteminence.com,Verified - food vendors,"Eminence community festival: demos, car show & drag races, food & craft vendors. Shannon Co.",2026-06-18
Douglas County Fair,Ava,MO,Douglas,140,,July,July (2026),,Not researched,Vendor application at dgcountyfair.com/vendors,,dgcountyfair.com,Verified - food vendors,County fair & rodeo with a fair-long vendor show.,2026-06-18
Texas County Livestock Fair,Houston,MO,Texas,115,,,July (2026),,Not researched,Contact the Texas County Fair Board (Houston MO),,houstoncountyfair.org,Verified - food vendors,"County livestock fair at the Texas County Fairgrounds, Houston MO.",2026-06-18
Hannibal Autumn Historic Folklife Festival,Hannibal,MO,Marion,105,,October,Oct 18-19 (2026),,Not researched,Exhibitor/food-vendor application via the Hannibal Arts Council (hannibalarts.com),Hannibal Arts Council / festivals@hannibalarts.com / 573-221-6545,hannibalarts.com,Verified - food vendors,"50th yr; artisans, food, music on historic Main St (Oct 18-19, 2026).",2026-06-18
Pike County Fair,Bowling Green,MO,Pike,70,,July,Jul 28 - Aug 1 (2026),,Not researched,Commercial vendor space: contact Christy Dempsey (573-213-9876),Christy Dempsey / 573-213-9876,pikecountyfair.org,Verified - food vendors,"County fair (Jul 28 - Aug 1, 2026).",2026-06-18
Lincoln County Fair,Troy,MO,Lincoln,105,,July,Jul 14-18 (2026),,Not researched,Contact the Lincoln County Fair (lincolncountymofair@gmail.com / 636-528-2402),Lincoln County Fair / lincolncountymofair@gmail.com / 636-528-2402,lincolncountyfair.net,Verified - food vendors,"County fair (Jul 14-18, 2026).",2026-06-18
Monroe County Fair,Paris,MO,Monroe,45,,July,Jul 6-11 (2026),,Not researched,Contact the Monroe County Fair (660-721-1578),Monroe County Fair / 660-721-1578,,Verified - food vendors,"County fair at 415 E Locust, Paris (Jul 6-11, 2026).",2026-06-18
NEMO District Fair,Kirksville,MO,Adair,95,,July,Jul 14-18 (2026),,Not researched,Vendor application via nemofair.net,NEMO Fair / nemofair@gmail.com / 660-665-8800,nemofair.net,Verified - food vendors,"NE Missouri district fair (Jul 14-18, 2026).",2026-06-18
Red Barn Arts & Crafts Festival,Kirksville,MO,Adair,95,,September,Late September (2026),,Not researched,Exhibitor & food-vendor applications via the Kirksville Arts Association,Kirksville Arts Association,visitkirksville.com,Verified - food vendors,Juried arts/craft festival on the square (120+ artisans) with food vendors.,2026-06-18
Great Pershing Balloon Derby,Brookfield,MO,Linn,70,,August,Aug 29 - Sep 1 (2026),,Not researched,Craft/food vendor booths via pershingballoonderby.com (~$20-30/space),,pershingballoonderby.com,Verified - food vendors,"Hot-air balloon festival with vendors (Aug 29 - Sep 1, 2026).",2026-06-18
Missouri Day Festival,Trenton,MO,Grundy,110,,October,Oct 16-17 (2026),,Not researched,Vendor & food-truck applications via the Trenton Area Chamber (trentonmochamber.com),Trenton Area Chamber / 660-359-4324,trentonmochamber.com,Verified - food trucks,"3rd weekend of October (Oct 18-19, 2026): 120+ vendors, food trucks welcome, parade.",2026-06-18
Livingston County Fair,Chillicothe,MO,Livingston,95,,June,Late June (2026),,Not researched,Contact the Livingston County 4-H & FFA Fair (660-247-2636),Livingston County Fair / Kim Williams / 660-247-2636,,Verified - food vendors,County 4-H & FFA fair at Chillicothe (late June 2026).,2026-06-18
Carroll County Fair,Carrollton,MO,Carroll,75,,July,Jul 31 - Aug 8 (2026),,Not researched,Vendor application at carrollcountyfair.com/vendors,,carrollcountyfair.com,Verified - food vendors,"4-H & FFA county fair (Jul 31 - Aug 8, 2026).",2026-06-18
Macon County Fair,Macon,MO,Macon,55,,July,Late July - early August (2026),,Not researched,Vendor info via maconcountyfair.org,,maconcountyfair.org,Verified - food vendors,"Macon County Town & Country Fair, 1305 S Missouri St.",2026-06-18
Chariton County Youth Fair,Salisbury,MO,Chariton,50,,July,July (2026),,Not researched,Contact the Chariton County Extension (660-288-3239),Chariton Co. Extension / 660-288-3239,discoverchariton.com,Verified - food vendors,County youth fair at Salisbury.,2026-06-18
Olde Glory Days,Clinton,MO,Henry,95,,July,Jul 1-4 (2026),,Not researched,Vendor application via clintonmo.com (deadline ~Jun 26),Clinton Chamber / david@clintonmo.com / 660-885-8166,clintonmo.com,Verified - food vendors,"Large July 4th fest on the square (Jul 1-4, 2026): carnival, vendors, parade.",2026-06-18
Warsaw Jubilee Days,Warsaw,MO,Benton,75,,June,Jun 3-6 (2026),,Not researched,Vendor application at warsawjubileedays.com,Warsaw Jubilee Days / JubileeDays.WarsawMo@gmail.com,warsawjubileedays.com,Verified - food vendors,"Parade, carnival, lakeside fireworks at Drake Harbor (Jun 3-6, 2026).",2026-06-18
Johnson County Fair,Warrensburg,MO,Johnson,75,,June,Early July (2026),,Not researched,Vendor application via johnsoncountyfairassociation.com,Johnson County Fair / jocofair@johnsoncountyfairassociation.com / 660-747-1811,johnsoncountyfairassociation.com,Verified - food trucks,"County fair & rodeo: 4-H/FFA shows, food trucks welcome, music.",2026-06-18
Richmond Mushroom Festival,Richmond,MO,Ray,100,,May,"First weekend May (May 1-2, 2026)",,Not researched,Vendor application via the Richmond Area Chamber (mushroomfestival.net),Richmond Mushroom Festival / mushroomfestivalinfo@gmail.com / 816-776-6684,mushroomfestival.net,Verified - food vendors,"'Mushroom Capital'; food/craft/art vendors, carnival, parade.",2026-06-18
Bates County Youth Fair,Butler,MO,Bates,120,,July,Jul 26 - Aug 1 (2026),,Not researched,Contact the Bates County Youth Fair (batescountyfair@gmail.com / 660-697-1796),Bates County Youth Fair / batescountyfair@gmail.com / 660-697-1796,,Verified - food vendors,"County youth fair (Jul 26 - Aug 1, 2026).",2026-06-18
Bushwhacker Days,Nevada,MO,Vernon,140,,June,Jun 11-13 (2026),,Not researched,Vendor application via the Nevada/Vernon Co. Chamber (nevada-mo.com),Nevada / Vernon County Chamber,nevada-mo.com,Verified - food vendors,"Vernon County festival (Jun 11-13, 2026): reenactments, parade, vendors.",2026-06-18
Stockton Black Walnut Festival,Stockton,MO,Cedar,135,,September,Late September (2026),,Not researched,Contact the Stockton Lake Sertoma Club (417-276-5988) / Black Walnut Festival (Facebook),Stockton Lake Sertoma Club / 417-276-5988,theblackwalnutfestival.com,Verified - food vendors,"Ozarks tradition since 1961: parade, food & craft vendors.",2026-06-18
Charleston Dogwood-Azalea Festival,Charleston,MO,Mississippi,215,,April,Apr 16-19 (2026),,Not researched,Vendor application at dogwoodazaleafestival.org/vendors,Dogwood-Azalea Festival / vendor@dogwoodazaleafestival.org / 573-683-6509,dogwoodazaleafestival.org,Verified - food vendors,"58th yr (Apr 16-19, 2026): 6-mi trail, parade, food & craft vendors.",2026-06-18
New Madrid Fall Festival,New Madrid,MO,New Madrid,230,,September,Late September (2026),,Not researched,Craft/food booth form via the New Madrid Chamber of Commerce,New Madrid Chamber of Commerce,,Verified - food vendors,"Downtown New Madrid: wagon rides, car show, music, food booths.",2026-06-18
Delta Fair,Kennett,MO,Dunklin,250,,September,Sep 29 - Oct 3 (2026),,Not researched,Vendor info via deltafairfun.com,,deltafairfun.com,Verified - food vendors,Largest fair in the Bootheel (SE MO / NE AR / W TN region).,2026-06-18
Show Me State BBQ Cook Off,Kennett,MO,Dunklin,250,,May,May 9 (2026),,Not researched,Contact the Kennett Jaycees (kennettjaycees.com),,kennettjaycees.com,Verified - food vendors,KCBS-sanctioned BBQ cook-off (chicken/ribs/pork/brisket); food vendors.,2026-06-18
Caruthersville Backyard BBQ Festival,Caruthersville,MO,Pemiscot,270,,July,Jul 31 - Aug 1,,Not researched,Contact the Caruthersville Chamber (Facebook: Backyard BBQ Festival),,,Verified - food vendors,Riverfront BBQ festival (Jul 31 - Aug 1).,2026-06-18
Campbell Peach Fair,Campbell,MO,Dunklin,255,,August,Mid-to-late August 2026 (TBD; 10-day fair),,Not researched,Vendor info via Mo Peach Fair (Facebook) / Downtown Campbell,downtowncampbell.com,downtowncampbell.com,Verified - food vendors,"Missouri Peach Fair, Campbell (10-day): food, pageants, games, peaches. Dunklin Co.",2026-06-18
Clarkton Purple Hull Pea Festival,Clarkton,MO,Dunklin,245,,August,Late August (verify 2026 occurrence),,Not researched,Via City of Clarkton / festival Facebook,,,Verified - vending unconfirmed,"Small-town festival at Ernie Woodall Memorial Park, Clarkton; 2026 occurrence/date unconfirmed (limited recent info). Dunklin Co.",2026-06-18
St. Joseph Apple Blossom Festival,St. Joseph,MO,Buchanan,150,,May,First Saturday May (2026),,Not researched,Contact the Apple Blossom Committee (816-259-6086),Apple Blossom Committee / 816-259-6086,appleblossomparade.com,Verified - food vendors,City-wide May festival: parade + BBQ contest at Civic Center Park.,2026-06-18
Trails West Festival,St. Joseph,MO,Buchanan,150,,August,August (2026),,Not researched,Contact the Allied Arts Council (816-233-0231),Allied Arts Council / 816-233-0231,trailswestfestival.com,Verified - food vendors,"Outdoor arts festival: fine/folk/culinary arts, music, food vendors.",2026-06-18
NW Missouri State Fair,Bethany,MO,Harrison,135,,August,"Aug 27-31 (2026, Labor Day wknd)",,Not researched,Vendor info via nwmostatefair.com,NW Missouri State Fair / nwmostatefair@gmail.com / 660-425-6951,nwmostatefair.com,Verified - food vendors,"Regional fair since 1916, Labor Day weekend (Aug 27-31, 2026).",2026-06-18
Nodaway County Fair,Maryville,MO,Nodaway,180,,July,Jul 9-11 (2026),,Not researched,Commercial vendor registration at nodcofair.org/registration-forms,Nodaway County Fair,nodcofair.org,Verified - food vendors,"County fair: carnival, parade, food (Jul 9-11, 2026).",2026-06-18
Carthage Maple Leaf Festival,Carthage,MO,Jasper,165,,October,Oct 10-17 (2026),,Not researched,Arts/crafts & food vendor application via the Carthage Chamber (carthagechamber.com),Carthage Chamber / info@carthagechamber.com / 417-358-2373,mapleleaffestival.com,Verified - food vendors,"60th yr (Oct 10-17, 2026); large parade, craft & food vendors.",2026-06-18
Neosho Fall Festival,Neosho,MO,Newton,185,,October,Oct 3 (2026),,Not researched,Online Event Participant Application at neoshomo.gov (food trucks welcome),City of Neosho / Jessica Johnson jjohnson@neoshomo.gov / 417-451-8050,neoshomo.gov,Verified - food trucks,"Historic downtown Neosho; vendors, food trucks welcome & exhibitors. 1st Sat of October.",2026-06-18
Apple Butter Makin' Days,Mount Vernon,MO,Lawrence,175,,October,Mid-October (2026),,Not researched,Craft & food/concession applications via Eventeny (mtvchamber.com); food jury after May 1,Mt. Vernon Area Chamber,mtvchamber.com,Verified - food vendors,Courthouse-square festival since 1967: craft & food vendors.,2026-06-18
Lamar Free Fair,Lamar,MO,Barton,155,,August,Aug 22-29 (2026),,Not researched,Contact Terry Moore (417-682-2446) or the Barton County Chamber (417-682-3595),Terry Moore / 417-682-2446,bartoncounty.com,Verified - food vendors,"Downtown square (Aug 22-29, 2026): carnival, food, vendors, parade.",2026-06-18
Webb City Mining Days Festival,Webb City,MO,Jasper,170,,September,Sep 12 (2026),,Not researched,Contact Webb City Hall (417-673-4651); Mining Days Event Center,Webb City Hall / 417-673-4651,webbcitymo.org,Verified - food trucks,"At King Jack Park (Sep 12, 2026): car show, food trucks welcome, local vendors, music.",2026-06-18
Indiana State Fair,Indianapolis,IN,Marion,480,,August,Aug 7-23 (2026),,Not researched,Concessionaire application via indianastatefair.com/vendor-information (entry@indianastatefair.com / 317-927-7515),entry@indianastatefair.com / 317-927-7515,indianastatefair.com,Verified - food vendors,"Indiana State Fair, Indianapolis: outside concessionaires permitted via application. Marion Co. IN.",2026-06-18
500 Festival Parade,Indianapolis,IN,Marion,480,,May,May 23 (2026),,Not researched,Vendor info via 500festival.com/parade,500festival.com,500festival.com,Verified - food vendors,"Indy 500 Festival Parade, downtown Indianapolis: food trucks/vendors along the route. Marion Co. IN.",2026-06-18
Talbot Street Art Fair,Indianapolis,IN,Marion,480,,June,Jun 20-21 (2026),,Not researched,Vendor info via talbotstreet.org,talbotstreet.org,talbotstreet.org,Verified - food vendors,"69th Talbot St art fair, Indianapolis: artists + diverse food vendors (tacos, wood-fired pizza, kettle corn). Marion Co. IN.",2026-06-18
Indiana Black Expo Summer Celebration,Indianapolis,IN,Marion,480,,July,Jul 9-19 (2026),,Not researched,Vendor registration via indianablackexpo.com / summercelebration.net (early-bird deadline Feb 28),indianablackexpo.com,indianablackexpo.com,Verified - food vendors,"Indiana Black Expo Summer Celebration, Indianapolis: 300+ vendors incl. food. Marion Co. IN.",2026-06-18
Penrod Arts Fair,Indianapolis,IN,Marion,480,,September,Sep 12 (2026),,Not researched,Vendor info via penrod.org / Newfields,penrod.org,penrod.org,Verified - food vendors,"Penrod Arts Fair at Newfields, Indianapolis (59th): 350+ artists, dozens of food/beverage vendors, beer garden. Marion Co. IN.",2026-06-18
Fountain Square Art Festival,Indianapolis,IN,Marion,480,,April,Apr 18 (2026),,Not researched,Via Fountain Fletcher District Assn (fountainfletcher.com),fountainfletcher.com,fountainfletcher.com,Verified,"Art festival at Fountain Square Park, Indianapolis: artists, music; food-vendor presence not confirmed (weak fit). Marion Co. IN.",2026-06-18
FOODEESFEST Indianapolis,Indianapolis,IN,Marion,480,,September,Sep 18-20 (2026),,Not researched,,,foodeesfest.com,Verified - food trucks,"Food-truck festival; food trucks welcome (40+ vendors). Indianapolis-metro lightweight capture — confirm food-truck fit, fee & application.",2026-06-18
First Friday Food Truck Festival,Indianapolis,IN,Marion,480,,,"First Friday monthly, May-Oct",,Not researched,,,,Verified - food trucks,"Food trucks welcome; 25+ local trucks at Old National Centre lot. Indianapolis-metro lightweight capture — confirm food-truck fit, fee & application.",2026-06-18
CarmelFest,Carmel,IN,Hamilton,480,,July,Jul 3-4 (2026),,Not researched,Food vendor application via carmelfest.net (Eventeny; deadline May 31),carmelfest.net,carmelfest.net,Verified - food vendors,"CarmelFest July 4th celebration, Carmel Civic Square: food vendors, marketplace, parade, fireworks. Hamilton Co. IN.",2026-06-18
Carmel International Arts Festival,Carmel,IN,Hamilton,480,,September,Sep 26-27 (2026),,Not researched,Vendor application via carmelartsfestival.org/vendors,carmelartsfestival.org,carmelartsfestival.org,Verified - food vendors,"Carmel Arts Festival, Main St & Rangeline Rd: food & beverage trucks + food tents. Hamilton Co. IN.",2026-06-18
Indiana Peony Festival,Noblesville,IN,Hamilton,490,,May,May 16 (2026),,Not researched,Vendor info via indianapeonyfestival.com/festival,indianapeonyfestival.com,indianapeonyfestival.com,Verified - food vendors,"Downtown Noblesville peony festival: 30+ food vendors & trucks, shopping, family fun. Hamilton Co. IN.",2026-06-18
HATCH Fest,Noblesville,IN,Hamilton,490,,June,Jun 14 (2026),,Not researched,Vendor info via Noblesville Creates (noblesvillecreates.org/hatchfest),noblesvillecreates.org,noblesvillecreates.org,Verified - food vendors,"HATCH Fest + St. Michael's Strawberry Festival, Noblesville Square: makers market, strawberry shortcake, live music. Hamilton Co. IN.",2026-06-18
Our Lady of the Greenwood Parish Festival,Greenwood,IN,Johnson,470,,June,Jun 4-6 (2026),,Not researched,Via olgreenwood.org (317-888-2861),317-888-2861,olgreenwood.org,Verified,"Catholic parish summer festival, Greenwood: parish-run food booths, beer tent, rides, music; outside food-vendor fit weak. Johnson Co. IN.",2026-06-18
Plainfield Quaker Day Festival,Plainfield,IN,Hendricks,470,,September,Sep 17-20 (2026),,Not researched,Vendor info via quakerdayfestival.org / Town of Plainfield,quakerdayfestival.org,quakerdayfestival.org,Verified - food trucks,"Plainfield Quaker Day Festival: craft fair (100+ booths), parade, food trucks from central Indiana. Hendricks Co. IN.",2026-06-18
Riley Festival,Greenfield,IN,Hancock,490,,October,Oct 1-4 (2026),,Not researched,Food vendor forms via rileyfestival.com (317-462-2141 / jwrileyfestival@outlook.com),317-462-2141 / jwrileyfestival@outlook.com,rileyfestival.com,Verified - food vendors,"James Whitcomb Riley Festival, Greenfield: 400+ arts/crafts/food vendors. Hancock Co. IN.",2026-06-18
Moccasin Creek Festival,Effingham,IL,Effingham,200,,June,Jun 18-21 (2026),,Not researched,Vendor application via moccasincreekfestival.com (possmusicworks@gmail.com),possmusicworks@gmail.com,moccasincreekfestival.com,Verified - food vendors,"4-day Americana music festival at Lake Sara, Effingham: food & beverage vendors on site. Effingham Co. IL.",2026-06-18
Summer Sundown Music Festival,Effingham,IL,Effingham,200,,September,Sep 11-13 (2026),,Not researched,Vendor application: contact Andrew Evans andrew@adotevans.com,andrew@adotevans.com,summersundownfest.com,Verified - food vendors,"Music festival at The Stage @ Lake Sara, Effingham: local food & craft vendors. Effingham Co. IL.",2026-06-18
Vandalia Grand Levee,Vandalia,IL,Fayette,165,,June,Jun 20 (2026),,Not researched,Vendor info via downstateil.org / Vandalia Statehouse,downstateil.org,downstateil.org,Verified - food trucks,"Vandalia Statehouse Grand Levee history celebration: food trucks, period activities, funnel cakes. Fayette Co. IL.",2026-06-18
Fayette County Fair,Vandalia,IL,Fayette,165,,July,Jul 9-14 (2026),,Not researched,Vendor info via fayettecofair.org / fayettefair.com,fayettecofair.org,fayettecofair.org,Verified - food vendors,"Fayette County Fair (Brownstown fairgrounds): 4-H, carnival, grandstand, food vendors. Fayette Co. IL.",2026-06-18
Bond County Fair,Greenville,IL,Bond,150,,August,Late July / early August 2026 (TBD),,Not researched,Vendor info via Bond County Fair Assn / greenvilleillinois.com,greenvilleillinois.com,greenvilleillinois.com,Verified - food vendors,"Bond County Fair, Greenville: vendors, food, contests, carnival. Bond Co. IL.",2026-06-18
Casey Popcorn Festival,Casey,IL,Clark,230,,September,Sep 4-7 (2026),,Not researched,Vendor info via popcornfestival.net,popcornfestival.net,popcornfestival.net,Verified - food vendors,"Casey Popcorn Festival, Fairview Park: carnival, crafts, food vendors, grandstand concerts. Clark Co. IL.",2026-06-18
Clark County Fair,Marshall,IL,Clark,240,,August,Aug 6-17 (2026),,Not researched,Food vendor application via clarkcofair.com/vendors,clarkcofair.com,clarkcofair.com,Verified - food vendors,"123rd Clark County Fair, Marshall: carnival, grandstand, food vendors. Clark Co. IL.",2026-06-18
Banks of the Wabash Festival,Terre Haute,IN,Vigo,280,,May,May 21-30 (2026),,Not researched,Vendor info via Banks of the Wabash Festival (terrehaute.com / Facebook),terrehaute.com,terrehaute.com,Verified - food vendors,"53rd Banks of the Wabash Festival, Terre Haute: carnival, food vendors, free admission. Vigo Co. IN.",2026-06-18
Vigo County Fair,Terre Haute,IN,Vigo,280,,July,Jul 11-18 (2026),,Not researched,Concession Row vendor application via vigofair.com (Eventeny),vigofair.com,vigofair.com,Verified - food vendors,"Vigo County Fair, Terre Haute: 4-H, carnival, grandstand, Concession Row food vendors. Vigo Co. IN.",2026-06-18
Miracle on 7th Street,Terre Haute,IN,Vigo,280,,December,Dec 4-5 (2026),,Not researched,Vendor info via miracleon7thstreet.com,miracleon7thstreet.com,miracleon7thstreet.com,Verified - food vendors,"Holiday festival, downtown Terre Haute / Hulman Center: 60-business vendor market, concessions, local food trucks. Vigo Co. IN.",2026-06-18
Clay County 4-H Fair,Brazil,IN,Clay,300,,July,Jul 18-24 (2026),,Not researched,Outside food vendor application via claycountyfair.net/vendors,claycountyfair.net,claycountyfair.net,Verified - food vendors,"Clay County 4-H Fair, Brazil: carnival, food vendors; 2026 outside-vendor spots full (apply early for next year). Clay Co. IN.",2026-06-18
Putnam County Fair,Greencastle,IN,Putnam,320,,July,Jul 17-24 (2026),,Not researched,Vendor info via putcofair.org,putcofair.org,putcofair.org,Verified - food vendors,"Putnam County Fair, Greencastle: 4-H, carnival, food vendors. Putnam Co. IN.",2026-06-18
First Friday Greencastle,Greencastle,IN,Putnam,320,,,First Friday monthly (May-Oct),,Not researched,Vendor info via Mainstreet Greencastle (mainstreetgc.org/first-friday),mainstreetgc.org,mainstreetgc.org,Verified - food trucks,"Downtown Greencastle monthly First Friday (May-Oct), 6-10pm: 8 food & beverage trucks, crafts, live music on 3 stages. Putnam Co. IN.",2026-06-18
Heart of Illinois Fair,Peoria,IL,Peoria,230,,July,Jul 14-18 (2026),,$150 temp food license (5 days),Vendor/food concessionaire application via heartofillinoisfair.com/vendors,heartofillinoisfair.com,heartofillinoisfair.com,Verified - food vendors,"Heart of Illinois Fair, Peoria: carnival, grandstand, food concessionaires. Peoria Co. IL.",2026-06-18
Peoria Irish Fest,Peoria,IL,Peoria,230,,August,Aug 28-30 (2026),,Not researched,Vendor info via peoriairishfest.com/food-drink,peoriairishfest.com,peoriairishfest.com,Verified - food vendors,"Peoria Irish Fest (44th), riverfront: Irish culture, music, food vendors throughout grounds. Peoria Co. IL.",2026-06-18
Galesburg Railroad Days,Galesburg,IL,Knox,210,,June,Jun 25-28 (2026),,Not researched,Vendor application via galesburgrailroaddays.net/vendors,galesburgrailroaddays.net,galesburgrailroaddays.net,Verified - food vendors,"Galesburg Railroad Days: train viewing, vendors, food trucks, crafts. Knox Co. IL.",2026-06-18
Sweet Corn Circus,Normal,IL,McLean,230,,August,Aug 23-24 (2026),,Not researched,Vendor info via normalil.gov/1644/Sweet-Corn-Circus,normalil.gov,normalil.gov,Verified - food vendors,"Uptown Normal Sweet Corn Circus: 120+ booths, food court with food trucks, fresh sweet corn. McLean Co. IL.",2026-06-18
McLean County Fair,Bloomington,IL,McLean,230,,July,Jul 29 - Aug 2 (2026),,Not researched,Vendor info via mcleancountyfair.org,mcleancountyfair.org,mcleancountyfair.org,Verified - food vendors,"McLean County Fair, Bloomington: carnival, grandstand, food vendors. McLean Co. IL.",2026-06-18
Champaign County Fair,Urbana,IL,Champaign,255,,July,Jul 25 - Aug 1 (2026),,Not researched,Vendor info via Champaign County Fair IL (facebook.com/ChampaignCountyFairIL),facebook.com/ChampaignCountyFairIL,,Verified - food vendors,"Champaign County Fair, Urbana IL (173rd): carnival, grandstand, ~25 food booths. Champaign Co. IL.",2026-06-18
Urbana Sweetcorn Festival,Urbana,IL,Champaign,255,,August,Late August 2026 (TBD),,Not researched,Vendor info via urbanasweetcornfestival.com,urbanasweetcornfestival.com,urbanasweetcornfestival.com,Verified - food vendors,"Downtown Urbana Sweetcorn Festival (40th): ~30 food/drink vendors, 50k visitors. Champaign Co. IL.",2026-06-18
Vermilion County Fair,Danville,IL,Vermilion,290,,June,Jun 24-28 (2026),,Not researched,Vendor info via vermilioncountyfair.org,vermilioncountyfair.org,vermilioncountyfair.org,Verified - food vendors,"Vermilion County Fair & Expo (Oakwood): carnival, grandstand, food vendors. Vermilion Co. IL.",2026-06-18
Crawfordsville Strawberry Festival,Crawfordsville,IN,Montgomery,340,,June,Jun 12-14 (2026),,Not researched,Food vendor application via crawfordsvillestrawberryfest.com (food@crawfordsvillestrawberryfest.com; deadline May 1),food@crawfordsvillestrawberryfest.com,crawfordsvillestrawberryfest.com,Verified - food vendors,"Crawfordsville Strawberry Festival, downtown: food vendors, crafts, strawberries. Montgomery Co. IN.",2026-06-18
Covington Apple Fest,Covington,IN,Fountain,320,,September,Sep 26 (2026),,Not researched,Vendor info via Covington Business Assn / Covington Apple Fest (Facebook),facebook.com/covingtoninapplefest,facebook.com/covingtoninapplefest,Verified - food vendors,"35th Covington Apple Fest, historic downtown: 100+ booths incl. food trucks & food tents. Fountain Co. IN.",2026-06-18
Kentucky State Fair,Louisville,KY,Jefferson,360,,August,Aug 20-30 (2026),,Not researched,Concessionaire application (new vendors) via kystatefair.org/get-involved/concessionaires-commercial-vendors,kystatefair.org,kystatefair.org,Verified - food vendors,"Kentucky State Fair, KY Expo Center Louisville: concessionaires & commercial vendors. Jefferson Co. KY.",2026-06-18
St. James Court Art Show,Louisville,KY,Jefferson,360,,October,Oct 2-4 (2026),,Not researched,Food vendor application via stjamescourtartshow.com/food-vendors (dlayman@stjamescourtartshow.com; Jan-Aug),dlayman@stjamescourtartshow.com,stjamescourtartshow.com,Verified,"Major juried art show, Historic Old Louisville; food vendors but EXPLICITLY excludes typical fair food (hot dogs, brats, corn dogs) - poor fit for a hot-dog truck. Jefferson Co. KY.",2026-06-18
Kentucky Derby Festival,Louisville,KY,Jefferson,360,,April,Fest-a-Ville Apr 23 - May 1 (2026),,Not researched,Food vendors via official concessionaire Khalil's Catering / kdf.org (Chow Wagon),kdf.org,kdf.org,Verified - food vendors,"Kentucky Derby Festival Fest-a-Ville, Waterfront Park: Chow Wagon food trucks via official concessionaire Khalil's Catering. Jefferson Co. KY.",2026-06-18
NuLu Summer Fest,Louisville,KY,Jefferson,360,,July,Jul 18 (2026),,Not researched,Vendor application via nulu.org/summer (Eventeny),nulu.org,nulu.org,Verified - food vendors,"NuLu Summer Fest, East Market St Louisville: food trucks welcome + local restaurants, 80+ vendors, live music. Jefferson Co. KY.",2026-06-18
Harvest Homecoming,New Albany,IN,Floyd,360,,October,Oct 3-11 (2026); booths Oct 8-11,,Not researched,Food vendor application via harvesthomecoming.com (deadline Jul 8),harvesthomecoming.com,harvesthomecoming.com,Verified - food vendors,"Southern Indiana's largest fall festival, New Albany (~700k): 250+ craft/food booths (~150 food). Floyd Co. IN.",2026-06-18
Jammin' in Jeff,Jeffersonville,IN,Clark,390,,June,"Summer Friday nights (RiverStage); 2026 dates Jun 5, Jun 19, Jul 4",,Not researched,Vendor info via jeffparks.org/jammininjeff,jeffparks.org,jeffparks.org,Verified - food vendors,Jeffersonville RiverStage free summer concert series: themed night market with food trucks welcome each night. Clark Co. IN.,2026-06-18
Kentucky Bourbon Festival,Bardstown,KY,Nelson,350,,September,Sep 10-13 (2026),,Not researched,Food vendor application via kybourbonfestival.com,kybourbonfestival.com,kybourbonfestival.com,Verified - food vendors,"Kentucky Bourbon Festival (34th), Bardstown: food trucks welcome in Bourbon Capital Bites + marketplace. Nelson Co. KY.",2026-06-18
